date,price,greedCoef
12-12-2019,7212.01,23
13-12-2019,7199.39,22
14-12-2019,7261.72,27
15-12-2019,7080.29,21
16-12-2019,7132.39,24
17-12-2019,6897.33,23
18-12-2019,6635.84,15
19-12-2019,7294.53,21
20-12-2019,7159.26,23
21-12-2019,7203.41,23
22-12-2019,7159.47,20
23-12-2019,7517.58,33
24-12-2019,7326.6,25
25-12-2019,7260.91,22
26-12-2019,7202.72,39
27-12-2019,7207.23,38
28-12-2019,7253.82,37
29-12-2019,7316.23,37
30-12-2019,7399.49,40
31-12-2019,7234.44,38
01-01-2020,7183.88,37
02-01-2020,7189.94,39
03-01-2020,6965.72,38
04-01-2020,7339.7,38
05-01-2020,7357.5,39
06-01-2020,7359.96,41
07-01-2020,7762.69,40
08-01-2020,8160.36,51
09-01-2020,8045.15,44
10-01-2020,7817.35,41
11-01-2020,8190.31,50
12-01-2020,8024.58,45
13-01-2020,8181.49,49
14-01-2020,8106.56,56
15-01-2020,8820.95,54
16-01-2020,8813.21,55
17-01-2020,8719.63,54
18-01-2020,8894.83,51
19-01-2020,8909.28,53
20-01-2020,8702.59,48
21-01-2020,8634.03,49
22-01-2020,8724.84,52
23-01-2020,8667.26,49
24-01-2020,8394.28,40
25-01-2020,8431.78,41
26-01-2020,8345.88,42
27-01-2020,8602.37,50
28-01-2020,8898.94,54
29-01-2020,9391.97,57
30-01-2020,9286.18,57
31-01-2020,9501.38,55
01-02-2020,9342.23,57
02-02-2020,9384.45,57
03-02-2020,9334.25,59
04-02-2020,9288.96,56
05-02-2020,9171.98,53
06-02-2020,9611.42,61
07-02-2020,9755.84,56
08-02-2020,9808.36,56
09-02-2020,9898.25,56
10-02-2020,10157.78,57
11-02-2020,9858.03,52
12-02-2020,10269.43,61
13-02-2020,10347.93,65
14-02-2020,10233.32,63
15-02-2020,10360.37,64
16-02-2020,9905.43,59
17-02-2020,9925.51,49
18-02-2020,9702.48,53
19-02-2020,10182.6,50
20-02-2020,9602.43,44
21-02-2020,9608.8,44
22-02-2020,9697.86,43
23-02-2020,9671.46,46
24-02-2020,9977.39,46
25-02-2020,9664.21,44
26-02-2020,9316.18,41
27-02-2020,8793.5,39
28-02-2020,8821.5,40
29-02-2020,8719.29,38
01-03-2020,8545.45,39
02-03-2020,8549.38,38
03-03-2020,8919.74,38
04-03-2020,8765.68,40
05-03-2020,8773.78,41
06-03-2020,9074.82,39
07-03-2020,9160.39,38
08-03-2020,8903.72,33
09-03-2020,8057.67,17
10-03-2020,7944.4,16
11-03-2020,7894.66,17
12-03-2020,7945.36,14
13-03-2020,4916.78,10
14-03-2020,5632.58,8
15-03-2020,5181.77,12
16-03-2020,5357.02,9
17-03-2020,5045,8
18-03-2020,5337.66,11
19-03-2020,5413.06,12
20-03-2020,6184.88,9
21-03-2020,6206.44,9
22-03-2020,6195.43,11
23-03-2020,5828.15,10
24-03-2020,6503.53,12
25-03-2020,6767.18,13
26-03-2020,6694.21,14
27-03-2020,6757.95,12
28-03-2020,6382.8,8
29-03-2020,6252.49,12
26-10-2020,13041.21,75
27-10-2020,13069.43,61
28-10-2020,13646.02,70
29-10-2020,13285.97,67
30-10-2020,13462.18,74
31-10-2020,13565.95,73
01-11-2020,13803.41,72
02-11-2020,13761.72,71
03-11-2020,13571.24,71
04-11-2020,14023.78,74
05-11-2020,14157.73,72
06-11-2020,15599.92,90
07-11-2020,15590.62,88
08-11-2020,14838.16,82
09-11-2020,15488.25,90
10-11-2020,15335.03,90
11-11-2020,15313.73,86
12-11-2020,15707.08,87
13-11-2020,16306.53,89
14-11-2020,16332.85,90
15-11-2020,16075.95,86
16-11-2020,15964.7,90
17-11-2020,16721.46,86
18-11-2020,17681.54,91
19-11-2020,17786.27,94
20-11-2020,17824.64,86
21-11-2020,18672.78,91
22-11-2020,18704.06,94
23-11-2020,18430.59,90
24-11-2020,18385.74,88
25-11-2020,19157.16,94
26-11-2020,18725.76,93
27-11-2020,17175.86,86
28-11-2020,17155,87
29-11-2020,17739.9,89
30-11-2020,18199.23,88
01-12-2020,19686.87,95
02-12-2020,18792.03,92
03-12-2020,19226.19,92
04-12-2020,19448.44,92
05-12-2020,18665,93
06-12-2020,19156.84,95
07-12-2020,19378.94,94
08-12-2020,19181.41,95
09-12-2020,18323.52,86
10-12-2020,18549.92,94
11-12-2020,18250.47,89
12-12-2020,18034.86,90
13-12-2020,18814.98,91
14-12-2020,19169.05,95
15-12-2020,19274.69,91
16-12-2020,19441.96,92
17-12-2020,21352.13,92
18-12-2020,22822.17,95
19-12-2020,23135.57,93
20-12-2020,23844.72,92
21-12-2020,23467.06,92
22-12-2020,22727.13,88
23-12-2020,23823.32,93
24-12-2020,23239.5,86
25-12-2020,23724.2,94
26-12-2020,24707.98,93
27-12-2020,26445.7,91
28-12-2020,26249.27,92
29-12-2020,27039.45,91
30-12-2020,27360.78,91
31-12-2020,28889.61,95
01-01-2021,28972.4,94
02-01-2021,29388.94,94
03-01-2021,32203.64,93
04-01-2021,33063.48,94
05-01-2021,32030.55,93
06-01-2021,34038.29,95
07-01-2021,36849.86,91
08-01-2021,39479.41,93
09-01-2021,40636.24,93
10-01-2021,40236.66,94
11-01-2021,38202.08,90
12-01-2021,35496.03,84
13-01-2021,34058.4,78
14-01-2021,37380.85,83
15-01-2021,39155.58,88
16-01-2021,36790.17,84
17-01-2021,36025.26,79
18-01-2021,35839.51,79
19-01-2021,36623.04,80
20-01-2021,35932.79,78
21-01-2021,35501.38,75
22-01-2021,30840.3,40
23-01-2021,33008.02,74
24-01-2021,32107.29,70
25-01-2021,32283.66,74
26-01-2021,32275.27,71
27-01-2021,32516.52,78
28-01-2021,30423.05,55
29-01-2021,33443.87,77
30-01-2021,34252.08,76
31-01-2021,34317.82,78
01-02-2021,33143.22,77
02-02-2021,33535.94,76
03-02-2021,35524.43,78
04-02-2021,37677.34,80
05-02-2021,36983.42,81
06-02-2021,38310.24,84
07-02-2021,39267.01,86
08-02-2021,38868.82,83
09-02-2021,46437.41,95
10-02-2021,46509.57,92
11-02-2021,44854.95,93
12-02-2021,48006.18,92
13-02-2021,47435.54,92
14-02-2021,47222.32,95
15-02-2021,48652.87,93
16-02-2021,47936.51,95
17-02-2021,49184.63,95
18-02-2021,52154.91,91
19-02-2021,51591.61,93
20-02-2021,55933.47,91
21-02-2021,55900.84,91
22-02-2021,57469.95,94
23-02-2021,54121.17,94
24-02-2021,48898.7,76
25-02-2021,49738.17,79
26-02-2021,47082.87,55
27-02-2021,46324.5,56
28-02-2021,46191.39,55
01-03-2021,45261.03,38
02-03-2021,49635.07,78
03-03-2021,48501.21,78
04-03-2021,50392.55,84
05-03-2021,48363.74,77
06-03-2021,48775.37,77
07-03-2021,48892.8,76
08-03-2021,50964.18,81
09-03-2021,52405.02,81
10-03-2021,54928.7,68
11-03-2021,55893.31,73
12-03-2021,57809.41,70
13-03-2021,57256.22,74
14-03-2021,61179.79,78
15-03-2021,58998.89,76
16-03-2021,55665.01,71
17-03-2021,56925.01,71
18-03-2021,58909,72
19-03-2021,57643.32,71
20-03-2021,58060.21,75
21-03-2021,58101.34,73
22-03-2021,57374.95,70
23-03-2021,54095.36,66
24-03-2021,54355.45,65
25-03-2021,52303.02,60
26-03-2021,51336.09,54
27-03-2021,55055.43,65
28-03-2021,55863.73,74
01-11-2021,61349.75,74
02-11-2021,60960.98,73
03-11-2021,63260.05,76
04-11-2021,62929.93,73
05-11-2021,61448.47,73
06-11-2021,61019.66,71
07-11-2021,61529.76,73
08-11-2021,63302.78,75
09-11-2021,67549.14,84
10-11-2021,66939.24,75
11-11-2021,64926.06,77
12-11-2021,64820.8,74
13-11-2021,64156.3,72
14-11-2021,64409.56,74
15-11-2021,65509.06,72
16-11-2021,63614.06,71
17-11-2021,60108.9,52
18-11-2021,60365.6,54
19-11-2021,56930.68,34
20-11-2021,58136.22,43
21-11-2021,59769.66,49
22-11-2021,58700.83,50
23-11-2021,56303.06,33
24-11-2021,57566.6,42
25-11-2021,57175.09,32
26-11-2021,58966.99,47
27-11-2021,53788.22,21
28-11-2021,54805.03,27
29-11-2021,57331.41,33
30-11-2021,57839.55,40
01-12-2021,56975.35,34
02-12-2021,57227.97,32
03-12-2021,56522.76,31
04-12-2021,53663.25,25
05-12-2021,49243.39,18
06-12-2021,49465.5,16
07-12-2021,50552.83,25
08-12-2021,50633.01,28
09-12-2021,50513.04,29
10-12-2021,47593.85,24
11-12-2021,47191.14,16
12-12-2021,49398.4,27
13-12-2021,50109.99,28
14-12-2021,46731.03,21
15-12-2021,48387.69,28
16-12-2021,48885.05,29
17-12-2021,47635.92,23
18-12-2021,46164.14,24
19-12-2021,46861.62,29
20-12-2021,46697.13,25
21-12-2021,46913.54,27
22-12-2021,48917.48,45
23-12-2021,48614.97,34
24-12-2021,50830.2,41
25-12-2021,50840.36,39
26-12-2021,50431.63,37
27-12-2021,50790.88,40
28-12-2021,50714.73,41
29-12-2021,47536.39,27
30-12-2021,46471.7,22
31-12-2021,47129.66,28
01-01-2022,46197.31,21
02-01-2022,47737.35,29
03-01-2022,47306.41,29
04-01-2022,46450.79,23
05-01-2022,45824.54,24
06-01-2022,43432.51,15
07-01-2022,43094.54,18
08-01-2022,41543.79,10
09-01-2022,41686.67,23
10-01-2022,41869.6,23
11-01-2022,41832.59,21
12-01-2022,42743.03,22
13-01-2022,43919.67,21
14-01-2022,42575.61,21
15-01-2022,43089.83,23
16-01-2022,43088.74,21
17-01-2022,43100.36,22
18-01-2022,42224.38,24
19-01-2022,42372.75,24
20-01-2022,41674.8,24
21-01-2022,40697.03,19
22-01-2022,36469.3,13
23-01-2022,35075.92,11
24-01-2022,36288.15,13
25-01-2022,36702.79,12
26-01-2022,36975.99,23
27-01-2022,36829.37,20
28-01-2022,37189.85,24
29-01-2022,37744.7,24
30-01-2022,38184.86,29
31-01-2022,37908.44,20
01-02-2022,38494.66,26
02-02-2022,38721.49,28
03-02-2022,36918.19,20
04-02-2022,37328.64,20
05-02-2022,41590.34,33
06-02-2022,41418.21,37
07-02-2022,42412.41,45
08-02-2022,43861.07,48
09-02-2022,44080.12,54
10-02-2022,44422.91,50
11-02-2022,43531.67,50
12-02-2022,42398.98,44
13-02-2022,42239.01,44
14-02-2022,42069.84,46
15-02-2022,42552.28,46
16-02-2022,44576.33,51
17-02-2022,43896.34,52
18-02-2022,40545.09,30
19-02-2022,39994.66,25
20-02-2022,40107.12,27
21-02-2022,38397.25,25
22-02-2022,37037.39,20
23-02-2022,38267.75,25
24-02-2022,37270.85,23
25-02-2022,38353.62,27
26-02-2022,39239.77,26
27-02-2022,39134.83,26
28-02-2022,37714.96,20
01-03-2022,43189.46,51
02-03-2022,44428.47,52
03-03-2022,43935.37,39
04-03-2022,42474.37,33
05-03-2022,39154.4,22
06-03-2022,39407.02,22
07-03-2022,38428.92,23
08-03-2022,38030.63,21
09-03-2022,38748.52,22
10-03-2022,41962.85,28
11-03-2022,39443.42,22
12-03-2022,38741.03,22
13-03-2022,38805.53,21
14-03-2022,37796.31,23
15-03-2022,39696.28,21
16-03-2022,39314.86,24
17-03-2022,41133.64,27
18-03-2022,40956.79,25
19-03-2022,41790.97,28
20-03-2022,42235.02,31
21-03-2022,41243.16,30
22-03-2022,41043.9,26
23-03-2022,42380.11,31
24-03-2022,42904.1,40
25-03-2022,44006.77,47
26-03-2022,44331.36,51
27-03-2022,44542.31,49
31-10-2022,20630.65,31
01-11-2022,20492.56,30
02-11-2022,20480.27,30
03-11-2022,20150.33,30
04-11-2022,20207.99,30
05-11-2022,21150.6,38
06-11-2022,21301.57,40
07-11-2022,20910.59,33
08-11-2022,20593.73,31
09-11-2022,18544.7,29
10-11-2022,15820.02,22
11-11-2022,17559.67,25
12-11-2022,17007.72,21
13-11-2022,16773.9,22
14-11-2022,16307.47,24
15-11-2022,16592.04,22
16-11-2022,16879.14,23
17-11-2022,16648.05,20
18-11-2022,16680.21,23
19-11-2022,16677.95,23
20-11-2022,16683.72,24
21-11-2022,16253.6,21
22-11-2022,15760.19,22
23-11-2022,16198.25,22
24-11-2022,16590.98,20
25-11-2022,16588.46,20
26-11-2022,16508.33,22
27-11-2022,16451.53,26
28-11-2022,16420.87,28
29-11-2022,16207.01,26
30-11-2022,16431.79,29
01-12-2022,17162.35,27
02-12-2022,16978.64,27
03-12-2022,17094.49,27
04-12-2022,16888.31,26
05-12-2022,17111.76,26
06-12-2022,16966.84,25
07-12-2022,17086.52,29
08-12-2022,16837.85,25
09-12-2022,17226.02,26
10-12-2022,17126.85,27
11-12-2022,17129.19,26
12-12-2022,17094.83,27
13-12-2022,17208.66,27
14-12-2022,17775.32,30
15-12-2022,17801.37,31
16-12-2022,17359.21,29
17-12-2022,16658.44,28
18-12-2022,16780.55,26
19-12-2022,16742.74,29
20-12-2022,16442.79,29
21-12-2022,16901.12,26
22-12-2022,16821.13,28
23-12-2022,16816.01,27
24-12-2022,16780.97,29
25-12-2022,16837.16,29
26-12-2022,16829.1,28
27-12-2022,16916.07,27
28-12-2022,16700.54,28
29-12-2022,16540.47,28
30-12-2022,16631.24,28
31-12-2022,16599.47,25
01-01-2023,16531.31,26
02-01-2023,16613.87,27
03-01-2023,16670.08,26
04-01-2023,16670.16,29
05-01-2023,16846.82,29
06-01-2023,16825.87,26
07-01-2023,16946.16,25
08-01-2023,16942.73,25
09-01-2023,17115.81,25
10-01-2023,17179.03,26
11-01-2023,17442.44,26
12-01-2023,17938,30
13-01-2023,18849,31
14-01-2023,19932.05,46
15-01-2023,20954.52,52
16-01-2023,20878.94,45
17-01-2023,21188.92,51
18-01-2023,21136.12,52
19-01-2023,20678.47,45
20-01-2023,21082.28,51
21-01-2023,22676.2,53
22-01-2023,22789.92,53
23-01-2023,22714.99,50
24-01-2023,22917.47,52
25-01-2023,22637.8,51
26-01-2023,23066.28,54
27-01-2023,23009.15,55
28-01-2023,23077.75,52
29-01-2023,23031.02,55
30-01-2023,23747.26,61
31-01-2023,22833.34,51
01-02-2023,23129.7,56
02-02-2023,23730.52,60
03-02-2023,23470.8,60
04-02-2023,23437.21,58
05-02-2023,23332.1,58
06-02-2023,22940.79,56
07-02-2023,22761.44,54
08-02-2023,23252.78,58
09-02-2023,22961.13,55
10-02-2023,21807.55,48
11-02-2023,21634.86,49
12-02-2023,21862.19,50
13-02-2023,21790.14,48
14-02-2023,21787.77,50
15-02-2023,22208.56,53
16-02-2023,24332.21,62
17-02-2023,23533.22,61
18-02-2023,24578.28,60
19-02-2023,24638.27,60
20-02-2023,24287.53,58
21-02-2023,24838.09,60
22-02-2023,24450.5,59
23-02-2023,24186.92,56
24-02-2023,23941.1,53
25-02-2023,23190.14,52
26-02-2023,23168.68,51
27-02-2023,23557.29,50
28-02-2023,23492.86,53
01-03-2023,23137.23,50
02-03-2023,23642.8,51
03-03-2023,23467.23,50
04-03-2023,22360.92,50
05-03-2023,22353.23,47
06-03-2023,22434.09,48
07-03-2023,22410.79,49
08-03-2023,22201.44,50
09-03-2023,21704.74,44
10-03-2023,20370.48,34
11-03-2023,20206.71,33
12-03-2023,20613.6,33
13-03-2023,22183.71,49
14-03-2023,24207.1,56
15-03-2023,24757.56,50
16-03-2023,24372.11,52
17-03-2023,25049.83,51
18-03-2023,27441.41,64
19-03-2023,26973.46,63
20-03-2023,28040.29,66
21-03-2023,27807.05,68
22-03-2023,28188.11,62
23-03-2023,27316.18,57
24-03-2023,28345.7,61
25-03-2023,27493.01,64
26-03-2023,27492.83,64
30-10-2023,34535.38,68
31-10-2023,34494.56,66
01-11-2023,34657.73,66
02-11-2023,35439.76,72
03-11-2023,34947.15,65
04-11-2023,34732.28,68
05-11-2023,35086.09,70
06-11-2023,35039.47,74
07-11-2023,35054.59,68
08-11-2023,35421.85,66
09-11-2023,35638.33,69
10-11-2023,36704.14,70
11-11-2023,37321.51,70
12-11-2023,37142.22,73
13-11-2023,37079.76,72
14-11-2023,36482.51,69
15-11-2023,35551.21,60
16-11-2023,37884.19,70
17-11-2023,36162.42,63
18-11-2023,36626.32,69
19-11-2023,36591.19,66
20-11-2023,37388.64,69
21-11-2023,37476.66,71
22-11-2023,35758.72,62
23-11-2023,37424.2,66
24-11-2023,37299.18,66
25-11-2023,37737.05,73
26-11-2023,37801.92,73
27-11-2023,37460.21,66
28-11-2023,37246.29,68
29-11-2023,37836.63,72
30-11-2023,37861.9,74
01-12-2023,37729.58,71
02-12-2023,38699.84,74
03-12-2023,39469.35,73
04-12-2023,39980.93,74
05-12-2023,41984.41,75
06-12-2023,44089.06,72
07-12-2023,43771.01,72
08-12-2023,43285.02,72
09-12-2023,44186.18,73
10-12-2023,43723,74
11-12-2023,43791.67,74
12-12-2023,41235.58,67
13-12-2023,41472.94,65
14-12-2023,42887.55,72
15-12-2023,43030.6,70
16-12-2023,41939.16,67
17-12-2023,42243.26,73
18-12-2023,41349.42,65
19-12-2023,42650.27,73
20-12-2023,42268.08,74
21-12-2023,43669.91,70
22-12-2023,43875.01,74
23-12-2023,44008.04,70
24-12-2023,43732.75,71
25-12-2023,43023.12,73
26-12-2023,43593.79,71
27-12-2023,42517.32,73
28-12-2023,43469.34,73
29-12-2023,42588.94,65
30-12-2023,42073.59,68
31-12-2023,42146.03,67
01-01-2024,42280.14,65
02-01-2024,44197.61,71
03-01-2024,44970.34,70
04-01-2024,42854.08,68
05-01-2024,44194.38,72
06-01-2024,44178.89,70
07-01-2024,43988.33,71
08-01-2024,43950.84,71
09-01-2024,46988.14,76
10-01-2024,46123,73
11-01-2024,46667.48,76
12-01-2024,46353.15,71
13-01-2024,42776.42,64
14-01-2024,42839.19,60
15-01-2024,41704.39,52
16-01-2024,42491.26,64
17-01-2024,43130.88,60
18-01-2024,42739.27,63
19-01-2024,41286.68,51
20-01-2024,41625.47,52
21-01-2024,41677.08,56
22-01-2024,41570.17,55
23-01-2024,39523.63,50
24-01-2024,39876.44,48
25-01-2024,40078.62,52
26-01-2024,39941.74,49
27-01-2024,41816.55,55
28-01-2024,42124.02,54
29-01-2024,42028.92,55
30-01-2024,43302.28,61
31-01-2024,42943.64,60
01-02-2024,42555.08,63
02-02-2024,43073.2,63
03-02-2024,43181.71,60
04-02-2024,42999.52,60
05-02-2024,42570.21,60
06-02-2024,42664.56,64
07-02-2024,43091.51,62
08-02-2024,44339.04,66
09-02-2024,45304.61,72
10-02-2024,47154.23,74
11-02-2024,47768.12,71
12-02-2024,48311.16,70
13-02-2024,49942.97,79
14-02-2024,49733.11,74
15-02-2024,51844.19,72
16-02-2024,51934.57,72
17-02-2024,52163.28,76
18-02-2024,51668.78,72
19-02-2024,52139.33,75
20-02-2024,51781.22,72
21-02-2024,52269.59,78
22-02-2024,51854.36,74
23-02-2024,51263.67,76
24-02-2024,50744.07,72
25-02-2024,51574.61,74
26-02-2024,51727.63,72
27-02-2024,54518.58,79
28-02-2024,57071.6,82
29-02-2024,62507.1,80
01-03-2024,61179.58,80
02-03-2024,62431.25,80
03-03-2024,62038.39,83
04-03-2024,63149.43,82
05-03-2024,68338.64,90
06-03-2024,63804.11,75
07-03-2024,66115.57,82
08-03-2024,66928.15,81
09-03-2024,68269.39,84
10-03-2024,68446.32,79
11-03-2024,69023.53,82
12-03-2024,72095.86,81
13-03-2024,71449.5,81
14-03-2024,73118.09,88
15-03-2024,71366.96,83
16-03-2024,69497.39,81
17-03-2024,65260.55,79
18-03-2024,68364.45,77
19-03-2024,67609.44,79
20-03-2024,61924.02,74
21-03-2024,67857.3,78
22-03-2024,65493.22,75
23-03-2024,63816.99,73
24-03-2024,64004.42,74
25-03-2024,67208.33,75
26-03-2024,69892.26,81
27-03-2024,69990.22,83
28-03-2024,69434.46,80
29-03-2024,70789.57,79
30-03-2024,69903.72,75
31-03-2024,69629.99,75
